method,task,classes,mAP,rare_mAP,non_rare_mAP
RGIP full (ResNet, seed140),1,150,0.371189348,0.285230659,0.400353903
RGIP full (ResNet, seed140),2,300,0.341275855,0.269588899,0.365171508
RGIP full (ResNet, seed140),3,450,0.330040392,0.286450194,0.343805718
RGIP full (ResNet, seed140),4,600,0.326208029,0.279432406,0.340179969
Replay-distill (ResNet, seed140),1,150,0.369786015,0.281944477,0.399589394
Replay-distill (ResNet, seed140),2,300,0.343739020,0.286619388,0.362778898
Replay-distill (ResNet, seed140),3,450,0.323103625,0.260883863,0.342751971
Replay-distill (ResNet, seed140),4,600,0.316897395,0.272120964,0.330272173
Early RGIP full (ResNet, seed140),1,150,0.369521159,0.281638559,0.399338470
Early RGIP full (ResNet, seed140),2,300,0.338599730,0.291284632,0.354371429
Early RGIP full (ResNet, seed140),3,450,0.317436678,0.272166945,0.331732383
Early RGIP full (ResNet, seed140),4,600,0.309922814,0.264948863,0.323356591
